PLAYER,CURRENTTEAM,AGE,DATE OF BIRTH,POS,HANDED,DRAFTED,EXTENSION,SIGNING DATE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,S.BONUS,PlayerId,TYPE,TEAM,TEAMS
Zdeno Chara,-,44.0,1977-03-18,LD,Left,56 - Round 3 - 1996 (NYI),False,2021-10-10,44.0,,1.0,UFA,2022.0,750000.0,0.9,1500000.0,750000.0,750000.0,0.0,8465009.0,35+,NYI,NYI
Joe Thornton,-,41.0,1979-07-02,"C, LW",Left,1 - Round 1 - 1997 (BOS),False,2021-08-13,41.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8466138.0,35+,FLA,FLA
Craig Anderson,BUF,40.0,1981-05-21,G,Left,73 - Round 3 - 2001 (CHI),False,2021-07-28,40.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8467950.0,35+,BUF,BUF
Jason Spezza,-,38.0,1983-06-13,"C, RW",Right,2 - Round 1 - 2001 (OTT),True,2021-06-16,38.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8469455.0,35+,TOR,TOR
Mike Smith,EDM,39.0,1982-03-22,G,Left,161 - Round 5 - 2001 (DAL),True,2021-07-22,39.0,,2.0,UFA,2023.0,2200000.0,2.7,2200000.0,1900000.0,1900000.0,0.0,8469608.0,35+,EDM,EDM
Johnny Boychuk,-,37.0,1984-01-19,RD,Right,61 - Round 2 - 2002 (COL),True,2015-03-12,31.0,M-NTC,7.0,UFA,2022.0,6000000.0,8.2,6000000.0,4000000.0,1250000.0,2750000.0,8470187.0,Standard,BUF,"NYI,BUF"
Duncan Keith,-,37.0,1983-07-16,LD,Left,54 - Round 2 - 2002 (CHI),True,2009-12-03,26.0,NMC,13.0,UFA,2023.0,5538462.0,9.8,5538462.0,2100000.0,2100000.0,0.0,8470281.0,Standard,EDM,EDM
Marc-André Fleury,MIN,36.0,1984-11-28,G,Left,1 - Round 1 - 2003 (PIT),True,2018-07-13,34.0,M-NTC,3.0,UFA,2022.0,7000000.0,8.8,7000000.0,6000000.0,6000000.0,0.0,8470594.0,Standard,CHI,CHI
Ryan Suter,DAL,36.0,1985-01-21,LD,Left,7 - Round 1 - 2003 (NSH),False,2021-07-28,36.0,NMC,4.0,UFA,2025.0,3650000.0,4.5,3650000.0,2000000.0,1000000.0,1000000.0,8470600.0,35+,DAL,DAL
Jeff Carter,PIT,36.0,1985-01-01,"C, RW",Right,11 - Round 1 - 2003 (PHI),True,2010-11-13,25.0,,11.0,UFA,2022.0,5272727.0,8.9,5272727.0,2000000.0,2000000.0,0.0,8470604.0,Standard,PIT,PIT
Dustin Brown,-,36.0,1984-11-04,"RW, LW",Right,13 - Round 1 - 2003 (LAK),True,2013-07-18,29.0,M-NTC,8.0,UFA,2022.0,5875000.0,9.1,5875000.0,4000000.0,4000000.0,0.0,8470606.0,Standard,LAK,LAK
Brent Seabrook,TBL,36.0,1985-04-20,RD,Right,14 - Round 1 - 2003 (CHI),True,2015-09-26,31.0,NMC,8.0,UFA,2024.0,6875000.0,9.6,6875000.0,6000000.0,4000000.0,2000000.0,8470607.0,Standard,TBL,TBL
Zach Parise,NYI,36.0,1984-07-28,LW,Left,17 - Round 1 - 2003 (NJD),False,2021-10-10,36.0,,1.0,UFA,2022.0,750000.0,0.9,1500000.0,750000.0,750000.0,0.0,8470610.0,35+,NYI,NYI
Ryan Getzlaf,-,36.0,1985-05-10,C,Right,19 - Round 1 - 2003 (ANA),False,2021-07-28,36.0,NMC,1.0,UFA,2022.0,3000000.0,3.7,4500000.0,3000000.0,3000000.0,0.0,8470612.0,35+,ANA,ANA
Brent Burns,CAR,36.0,1985-03-09,RD,Right,20 - Round 1 - 2003 (MIN),True,2016-11-22,32.0,M-NTC,8.0,UFA,2025.0,8000000.0,11.0,8000000.0,7500000.0,4000000.0,3500000.0,8470613.0,Standard,SJS,SJS
Ryan Kesler,-,36.0,1984-08-31,"C, RW",Right,23 - Round 1 - 2003 (VAN),True,2015-07-15,31.0,M-NTC,6.0,UFA,2022.0,6875000.0,9.6,6875000.0,6675000.0,6675000.0,0.0,8470616.0,Standard,ANA,"ANA,VGK"
Brian Boyle,-,36.0,1984-12-18,"LW, C",Left,26 - Round 1 - 2003 (LAK),False,2021-10-12,36.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8470619.0,35+,PIT,PIT
Corey Perry,TBL,36.0,1985-05-16,RW,Right,28 - Round 1 - 2003 (ANA),False,2021-07-29,36.0,NTC,2.0,UFA,2023.0,1000000.0,1.2,1000000.0,750000.0,750000.0,0.0,8470621.0,35+,TBL,TBL
Loui Eriksson,-,35.0,1985-07-17,"LW, RW",Left,33 - Round 2 - 2003 (DAL),False,2016-07-01,30.0,M-NTC,6.0,UFA,2022.0,6000000.0,8.2,6000000.0,4000000.0,3000000.0,1000000.0,8470626.0,Standard,ARI,ARI
Patrice Bergeron,BOS,35.0,1985-07-24,C,Right,45 - Round 2 - 2003 (BOS),True,2013-07-12,28.0,"M-NTC, NMC",8.0,UFA,2022.0,6875000.0,10.7,6875000.0,4375000.0,3375000.0,1000000.0,8470638.0,Standard,BOS,BOS
Shea Weber,VGK,35.0,1985-08-14,RD,Right,49 - Round 2 - 2003 (NSH),False,2012-07-24,26.0,,14.0,UFA,2026.0,7857143.0,13.1,7857143.0,6000000.0,6000000.0,0.0,8470642.0,Standard,MTL,MTL
Brad Richardson,-,36.0,1985-02-04,C,Left,163 - Round 5 - 2003 (COL),False,2021-09-08,36.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8470755.0,35+,CGY,"CGY,VAN"
Nate Thompson,-,36.0,1984-10-05,C,Left,183 - Round 6 - 2003 (BOS),False,2021-07-28,36.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8470775.0,35+,PHI,PHI
Joe Pavelski,DAL,36.0,1984-07-11,"RW, C",Right,205 - Round 7 - 2003 (SJS),False,2019-07-01,34.0,M-NTC,3.0,UFA,2022.0,7000000.0,8.6,7000000.0,8000000.0,8000000.0,0.0,8470794.0,Standard,DAL,DAL
Jaroslav Halák,NYR,36.0,1985-05-13,G,Left,271 - Round 9 - 2003 (MTL),False,2021-07-28,36.0,NMC,1.0,UFA,2022.0,1500000.0,1.8,3000000.0,1500000.0,750000.0,750000.0,8470860.0,35+,VAN,VAN
Brian Elliott,TBL,36.0,1985-04-09,G,Left,291 - Round 9 - 2003 (OTT),False,2021-07-28,36.0,,1.0,UFA,2022.0,900000.0,1.1,900000.0,900000.0,900000.0,0.0,8470880.0,35+,TBL,TBL
Mark Giordano,TOR,37.0,1983-10-03,LD,Left,-,True,2015-08-25,32.0,M-NTC,6.0,UFA,2022.0,6750000.0,9.5,6750000.0,6750000.0,6750000.0,0.0,8470966.0,Standard,SEA,SEA
Alex Ovechkin,WSH,35.0,1985-09-17,LW,Right,1 - Round 1 - 2004 (WSH),True,2021-07-27,35.0,"M-NTC, NMC",5.0,UFA,2026.0,9500000.0,11.7,9500000.0,5000000.0,1000000.0,4000000.0,8471214.0,35+,WSH,WSH
Evgeni Malkin,PIT,34.0,1986-07-31,C,Left,2 - Round 1 - 2004 (PIT),True,2013-07-01,27.0,NMC,8.0,UFA,2022.0,9500000.0,14.8,9500000.0,9500000.0,4500000.0,5000000.0,8471215.0,Standard,PIT,PIT
Andrew Ladd,ARI,35.0,1985-12-12,LW,Left,4 - Round 1 - 2004 (CAR),False,2016-07-01,30.0,M-NTC,7.0,UFA,2023.0,5500000.0,7.5,5500000.0,4000000.0,1000000.0,3000000.0,8471217.0,Standard,ARI,ARI
Blake Wheeler,WPG,34.0,1986-08-31,"RW, C",Right,5 - Round 1 - 2004 (ARI),True,2018-09-04,32.0,NMC,5.0,UFA,2024.0,8250000.0,10.4,8250000.0,10000000.0,10000000.0,0.0,8471218.0,Standard,WPG,WPG
Alexander Radulov,-,34.0,1986-07-05,RW,Left,15 - Round 1 - 2004 (NSH),False,2017-07-03,30.0,"M-NTC, NMC",5.0,UFA,2022.0,6250000.0,8.3,6250000.0,4650000.0,2650000.0,2000000.0,8471228.0,Standard,DAL,DAL
Cory Schneider,NYI,35.0,1986-03-18,G,Left,26 - Round 1 - 2004 (VAN),False,2021-10-12,35.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8471239.0,35+,NYI,NYI
Blake Comeau,-,35.0,1986-02-18,"RW, LW",Right,47 - Round 2 - 2004 (NYI),True,2021-06-21,35.0,,1.0,UFA,2022.0,1000000.0,1.2,1000000.0,1000000.0,1000000.0,0.0,8471260.0,35+,DAL,DAL
Alex Goligoski,MIN,35.0,1985-07-30,LD/RD,Left,61 - Round 2 - 2004 (PIT),False,2021-07-28,35.0,NMC,1.0,UFA,2022.0,5000000.0,6.1,5000000.0,5000000.0,5000000.0,0.0,8471274.0,35+,MIN,MIN
Andrej Sekera,-,35.0,1986-06-08,LD/RD,Left,71 - Round 3 - 2004 (BUF),True,2020-10-04,34.0,,2.0,UFA,2022.0,1500000.0,1.8,1500000.0,1500000.0,1500000.0,0.0,8471284.0,Standard,DAL,DAL
Alexander Edler,LAK,35.0,1986-04-21,LD,Left,91 - Round 3 - 2004 (VAN),False,2021-07-28,35.0,NMC,1.0,UFA,2022.0,3500000.0,4.3,3500000.0,3500000.0,1900000.0,1600000.0,8471303.0,35+,LAK,LAK
Thomas Greiss,STL,35.0,1986-01-29,G,Left,94 - Round 3 - 2004 (SJS),False,2020-10-10,34.0,,2.0,UFA,2022.0,3600000.0,4.4,3600000.0,4400000.0,4400000.0,0.0,8471306.0,Standard,DET,DET
Anton Khudobin,DAL,35.0,1986-05-07,G,Left,206 - Round 7 - 2004 (MIN),False,2020-10-09,34.0,M-NTC,3.0,UFA,2023.0,3333333.0,4.1,3333333.0,3750000.0,3750000.0,0.0,8471418.0,Standard,DAL,DAL
Paul Stastny,CAR,35.0,1985-12-27,"LW, C",Left,44 - Round 2 - 2005 (COL),True,2021-07-26,35.0,,1.0,UFA,2022.0,3750000.0,4.6,3750000.0,3750000.0,3750000.0,0.0,8471669.0,35+,WPG,WPG
Sidney Crosby,PIT,33.0,1987-08-07,C,Left,1 - Round 1 - 2005 (PIT),True,2012-07-01,25.0,NMC,12.0,UFA,2025.0,8700000.0,14.5,8700000.0,9000000.0,9000000.0,0.0,8471675.0,Standard,PIT,PIT
Jack Johnson,CHI,34.0,1987-01-13,LD,Left,3 - Round 1 - 2005 (CAR),False,2021-10-10,34.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8471677.0,Standard,COL,COL
Carey Price,MTL,33.0,1987-08-16,G,Left,5 - Round 1 - 2005 (MTL),True,2017-07-02,29.0,NMC,8.0,UFA,2026.0,10500000.0,14.0,10500000.0,13000000.0,2000000.0,11000000.0,8471679.0,Standard,MTL,MTL
Anze Kopitar,LAK,33.0,1987-08-24,C,Left,11 - Round 1 - 2005 (LAK),True,2016-01-16,28.0,M-NTC,8.0,UFA,2024.0,10000000.0,14.0,10000000.0,8000000.0,8000000.0,0.0,8471685.0,Standard,LAK,LAK
