gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,teamId,teamName,teamLink,season
82,48,19,3,111,67.7,3.598,2.378,1.1969,22.9,71.0,49.0,310.0,84.7,31.5854,24.6829,0.727,0.421,0.839,0.921,0.583,0.684,5259.0,2597.0,2662.0,49.4,11.4,0.904,1,New Jersey Devils,/api/v1/teams/1,20002001
82,21,51,3,52,31.7,2.2560000000000002,3.268,1.0069,13.2,51.0,79.0,386.0,82.2,27.5244,29.0,0.486,0.085,0.5,0.684,0.243,0.273,5386.0,2624.0,2762.0,48.7,8.2,0.887,2,New York Islanders,/api/v1/teams/2,20002001
82,33,43,1,72,43.9,3.049,3.537,0.9874,17.9,65.0,86.0,363.0,78.5,28.5976,31.4024,0.65,0.167,0.64,0.844,0.379,0.4,5220.0,2671.0,2549.0,51.2,10.7,0.887,3,New York Rangers,/api/v1/teams/3,20002001
82,43,25,3,100,61.0,2.927,2.524,1.3468,15.7,55.0,55.0,350.0,82.5,29.9024,26.1463,0.66,0.313,0.667,0.8160000000000001,0.447,0.618,5444.0,2739.0,2705.0,50.3,9.8,0.903,4,Philadelphia Flyers,/api/v1/teams/4,20002001
82,42,28,3,96,58.5,3.427,3.122,0.7738,20.3,76.0,78.0,375.0,80.7,29.1951,29.2317,0.667,0.391,0.733,0.897,0.512,0.486,5260.0,2457.0,2803.0,46.7,11.7,0.893,5,Pittsburgh Penguins,/api/v1/teams/5,20002001
82,36,30,8,88,53.7,2.768,3.037,1.1898,16.4,64.0,65.0,390.0,82.8,28.7683,26.7195,0.649,0.267,0.76,0.862,0.449,0.387,5398.0,2658.0,2740.0,49.2,9.6,0.886,6,Boston Bruins,/api/v1/teams/6,20002001
82,46,30,1,98,59.8,2.659,2.2439999999999998,0.9645,16.1,60.0,40.0,373.0,88.0,26.878,26.7683,0.76,0.25,0.862,0.9470000000000001,0.61,0.5,5306.0,2653.0,2653.0,50.0,9.9,0.916,7,Buffalo Sabres,/api/v1/teams/7,20002001
82,28,40,6,70,42.7,2.512,2.829,0.9286000000000001,16.1,68.0,60.0,421.0,82.2,26.1951,28.0122,0.741,0.145,0.8,0.885,0.368,0.341,5312.0,2629.0,2683.0,49.5,9.6,0.899,8,Montréal Canadiens,/api/v1/teams/8,20002001
82,48,21,4,109,66.5,3.341,2.5,1.1429,18.6,71.0,49.0,381.0,86.4,30.1951,27.2561,0.72,0.375,0.737,0.837,0.542,0.625,5471.0,2656.0,2815.0,48.5,11.1,0.908,9,Ottawa Senators,/api/v1/teams/9,20002001
82,37,29,5,90,54.9,2.829,2.524,1.2826,16.1,57.0,55.0,355.0,85.0,27.7561,27.3659,0.667,0.256,0.6880000000000001,0.8180000000000001,0.452,0.444,5365.0,2835.0,2530.0,52.8,10.2,0.908,10,Toronto Maple Leafs,/api/v1/teams/10,20002001
82,23,45,2,60,36.6,2.573,3.524,0.738,13.7,54.0,90.0,395.0,77.9,27.939,32.378,0.529,0.10400000000000001,0.48,0.864,0.2,0.321,5711.0,2631.0,3080.0,46.1,9.2,0.891,11,Atlanta Thrashers,/api/v1/teams/11,20002001
82,38,32,3,88,53.7,2.585,2.7439999999999998,0.9645,18.9,72.0,45.0,382.0,87.2,27.0366,26.9024,0.625,0.31,0.6920000000000001,0.889,0.55,0.417,5286.0,2904.0,2382.0,54.9,9.6,0.898,12,Carolina Hurricanes,/api/v1/teams/12,20002001
82,22,38,9,66,40.2,2.439,3.0,0.7616,13.0,46.0,64.0,353.0,83.9,26.4634,31.2073,0.378,0.178,0.421,0.5,0.24,0.296,5379.0,2610.0,2769.0,48.5,9.2,0.904,13,Florida Panthers,/api/v1/teams/13,20002001
82,24,47,5,59,36.0,2.451,3.415,0.7692,12.5,53.0,72.0,424.0,82.9,24.561,31.1829,0.465,0.10300000000000001,0.545,0.739,0.438,0.222,5467.0,2562.0,2905.0,46.9,10.0,0.89,14,Tampa Bay Lightning,/api/v1/teams/14,20002001
82,41,27,4,96,58.5,2.841,2.573,0.9375,21.2,75.0,62.0,353.0,84.1,28.6341,27.7195,0.769,0.256,0.8210000000000001,0.844,0.558,0.459,5345.0,2949.0,2396.0,55.2,9.9,0.907,15,Washington Capitals,/api/v1/teams/15,20002001
82,29,40,5,71,43.3,2.561,3.0,1.0889,12.9,41.0,52.0,318.0,83.9,26.3415,26.7073,0.526,0.20500000000000002,0.609,0.8260000000000001,0.432,0.317,5382.0,2686.0,2696.0,49.9,9.7,0.888,16,Chicago Blackhawks,/api/v1/teams/16,20002001
82,49,20,4,111,67.7,3.085,2.463,1.2314,22.1,85.0,55.0,384.0,85.7,32.3171,27.0854,0.745,0.4,0.8,0.9410000000000001,0.604,0.607,5607.0,3048.0,2559.0,54.4,9.5,0.909,17,Detroit Red Wings,/api/v1/teams/17,20002001
82,34,36,3,80,48.8,2.268,2.439,0.8302,14.1,51.0,49.0,361.0,85.2,26.6098,28.622,0.684,0.182,0.667,0.862,0.46900000000000003,0.362,5053.0,2446.0,2607.0,48.4,8.5,0.915,18,Nashville Predators,/api/v1/teams/18,20002001
82,43,22,5,103,62.8,3.037,2.378,1.2743,18.7,72.0,57.0,385.0,85.3,30.4146,23.5732,0.78,0.268,0.8210000000000001,0.846,0.516,0.438,5486.0,2848.0,2638.0,51.9,10.0,0.899,19,St. Louis Blues,/api/v1/teams/19,20002001
82,27,36,4,73,44.5,2.402,2.878,0.9197000000000001,14.9,65.0,76.0,435.0,79.9,27.1951,27.122,0.553,0.136,0.667,0.733,0.4,0.256,5431.0,2800.0,2631.0,51.6,8.8,0.894,20,Calgary Flames,/api/v1/teams/20,20002001
82,52,16,4,118,72.0,3.293,2.341,1.1852,22.0,80.0,59.0,363.0,82.8,29.2073,25.1098,0.773,0.47400000000000003,0.8180000000000001,0.851,0.636,0.64,5649.0,2900.0,2749.0,51.3,11.3,0.907,21,Colorado Avalanche,/api/v1/teams/21,20002001
82,39,28,3,93,56.7,2.963,2.707,1.1786,14.8,59.0,62.0,398.0,83.8,26.1585,26.0854,0.6920000000000001,0.279,0.6960000000000001,0.853,0.487,0.45,5422.0,2769.0,2653.0,51.1,11.3,0.896,22,Edmonton Oilers,/api/v1/teams/22,20002001
82,36,28,7,90,54.9,2.915,2.902,1.1679,17.1,71.0,74.0,416.0,80.9,29.6829,25.878,0.6000000000000001,0.243,0.71,0.765,0.463,0.4,5555.0,2603.0,2952.0,46.9,9.8,0.888,23,Vancouver Canucks,/api/v1/teams/23,20002001
82,25,41,5,66,40.2,2.293,2.988,0.9206000000000001,17.7,66.0,71.0,373.0,81.8,25.8902,29.4756,0.486,0.156,0.435,0.75,0.355,0.28,5520.0,2668.0,2852.0,48.3,8.9,0.899,24,Anaheim Ducks,/api/v1/teams/24,20002001
82,48,24,2,106,64.6,2.939,2.2800000000000002,1.0547,19.6,72.0,49.0,367.0,86.2,25.6098,24.9146,0.8,0.324,0.8280000000000001,0.9460000000000001,0.625,0.55,5152.0,2636.0,2516.0,51.2,11.5,0.908,25,Dallas Stars,/api/v1/teams/25,20002001
82,38,28,3,92,56.1,3.073,2.7800000000000002,1.0,19.4,71.0,72.0,367.0,81.2,27.9024,26.3415,0.625,0.23500000000000001,0.6970000000000001,0.861,0.537,0.359,5392.0,2733.0,2659.0,50.7,11.0,0.894,26,Los Angeles Kings,/api/v1/teams/26,20002001
82,35,27,3,90,54.9,2.61,2.585,1.1203,16.6,57.0,64.0,343.0,85.2,25.061,29.6341,0.533,0.297,0.5710000000000001,0.763,0.44,0.41100000000000003,5283.0,2632.0,2651.0,49.8,10.4,0.913,27,Phoenix Coyotes,/api/v1/teams/27,20002001
82,40,27,3,95,57.9,2.646,2.341,1.3333,14.0,57.0,61.0,406.0,86.2,27.6463,26.4512,0.658,0.341,0.76,0.9570000000000001,0.622,0.353,5450.0,2630.0,2820.0,48.3,9.6,0.911,28,San Jose Sharks,/api/v1/teams/28,20002001
82,28,39,6,71,43.3,2.317,2.841,0.578,14.7,56.0,70.0,381.0,80.7,25.3902,30.1829,0.442,0.231,0.63,0.786,0.417,0.304,5338.0,2695.0,2643.0,50.5,9.1,0.906,29,Columbus Blue Jackets,/api/v1/teams/29,20002001
